GRPwgt,GRPstrat,GRPpsu,WGTFLAG,FinalWgt,Year,State,SchoolType,RegionName,RegionNumber,SCHOOL,CR1,CR2,CR3,CR4,CR5,OMR6,OMR7,OMR8,OMR9,CR10,CR11,OMR12,OMR13,CR13,CR14,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,CR24,CR25,CR26,CR27,CR28,CR29,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,CR44,CR45,CR46,CR47,CR48,CR49,CR50,CR51,CR52,OMR54,OMR55,OMR56,OMR57,OMR58,OMR59,OMR60,OMR61,OMR62,OMR63,OMR64,OMR65,OMR66,OMR67,OMR68,OMR69,OMR70,OMR71,OMR72,OMR73,OMR74,OMR75,CR54,CR55,OMR78,OMR79,Stratum,PSU
71.82903587,200701001,1,W,71.82903587,2007,OM,All Schools,National,1,697,1,4,2,2,2,4,3,8,6,3,1,1,7,4,1,3,2,3,3,3,2,2,1,2,1,2,3,4,4,5,3,3,5,5,1,3,3,6,3,3,2,1,2,2,1,3,2,1,2,1,1,1,1,2,1,1,6,5,,4,2,4,3,3,3,1,2,2,2,2,2,2,2,2,2,3,1,1,1,200701001,1
71.82903587,200701001,1,W,71.82903587,2007,OM,All Schools,National,1,697,2,1,1,1,1,1,1,1,2,1,1,1,1,4,3,3,1,3,3,3,1,1,1,1,1,2,4,4,1,3,1,2,1,1,1,3,1,1,1,1,2,3,1,1,1,2,2,1,4,1,3,1,1,1,1,1,4,6,4,3,3,4,2,1,3,1,1,7,5,1,1,3,3,3,3,4,1,1,1,200701001,1
112.3286155,200701001,1,W,112.3286155,2007,OM,All Schools,National,1,697,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,4,2,1,1,,,,3,1,1,1,1,1,,2,1,1,3,2,2,2,2,1,3,2,2,,3,3,,3,1,1,3,,3,1,2,7,1,2,2,3,2,2,2,1,1,2,7,2,3,3,3,,3,1,1,,,3,200701001,1
118.9615219,200701001,1,W,118.9615219,2007,OM,All Schools,National,1,697,1,1,3,2,1,3,1,2,3,3,2,2,1,1,1,,,,1,1,2,2,1,2,2,3,4,1,1,1,3,4,1,1,1,1,1,1,3,1,1,3,3,2,2,4,2,2,4,2,3,3,3,1,3,2,1,1,1,1,2,3,5,3,3,2,1,1,1,1,1,1,1,1,1,3,1,1,2,200701001,1
118.9615219,200701001,1,W,118.9615219,2007,OM,All Schools,National,1,697,1,4,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,3,3,3,3,3,1,1,1,3,6,4,4,1,1,1,1,1,1,1,1,1,2,2,2,2,4,3,2,4,2,2,3,3,6,2,2,1,1,,1,1,1,1,4,2,2,1,1,1,1,1,3,1,1,1,5,1,1,2,200701001,1
118.9615219,200701001,1,W,118.9615219,2007,OM,All Schools,National,1,697,1,4,1,1,1,1,1,1,2,3,1,1,3,1,1,1,2,1,1,4,3,3,2,2,2,3,4,1,3,3,1,4,5,1,1,1,1,7,3,3,1,1,1,4,2,4,2,2,2,2,3,3,3,1,1,2,1,1,1,1,1,1,1,4,2,2,1,1,1,1,1,1,1,1,1,5,1,1,2,200701001,1
118.9615219,200701001,1,W,118.9615219,2007,OM,All Schools,National,1,697,1,6,1,1,1,1,1,1,3,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,4,2,1,1,2,1,2,1,7,3,3,5,2,2,1,2,2,1,5,7,6,3,2,3,1,1,1,6,1,1,2,200701001,1
118.9615219,200701001,1,W,118.9615219,2007,OM,All Schools,National,1,697,1,6,1,1,1,1,1,2,7,1,2,2,1,1,1,2,2,2,2,2,1,3,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,4,2,3,1,1,2,1,2,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,7,3,6,3,4,3,3,2,3,6,1,1,2,200701001,1
118.9615219,200701001,1,W,118.9615219,2007,OM,All Schools,National,1,697,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,3,1,3,1,2,1,1,2,1,4,3,3,3,4,4,1,1,1,1,1,1,1,2,1,3,2,2,2,3,1,2,3,2,2,2,2,6,2,2,1,1,1,1,1,1,1,4,1,1,5,1,3,1,1,1,1,1,1,4,1,1,2,200701001,1
118.9615219,200701001,1,W,118.9615219,2007,OM,All Schools,National,1,697,2,1,1,1,1,1,1,1,2,1,2,,1,1,1,1,2,1,1,3,3,3,2,3,2,1,4,1,3,3,4,4,1,1,1,1,1,1,1,1,1,2,4,3,2,4,3,3,4,2,2,2,2,1,2,2,1,1,1,1,1,1,1,4,3,2,1,1,1,1,1,1,1,3,3,4,1,1,2,200701001,1
118.9615219,200701001,1,W,118.9615219,2007,OM,All Schools,National,1,697,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,1,1,3,1,3,3,3,1,3,2,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,4,1,1,2,200701001,1
118.9615219,200701001,1,W,118.9615219,2007,OM,All Schools,National,1,697,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,1,1,2,2,1,1,2,1,1,1,1,1,1,3,1,3,2,3,3,3,4,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,3,1,2,2,3,3,2,3,3,3,3,4,1,1,2,200701001,1
118.9615219,200701001,1,W,118.9615219,2007,OM,All Schools,National,1,697,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,4,2,1,1,3,3,1,1,1,1,1,1,1,1,1,3,3,2,2,2,1,3,1,2,1,2,1,6,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,1,1,2,200701001,1
118.9615219,200701001,1,W,118.9615219,2007,OM,All Schools,National,1,697,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,2,1,2,3,3,1,1,1,1,1,1,1,1,1,3,3,2,2,2,1,3,3,2,2,2,2,1,1,2,1,1,1,1,1,1,1,4,2,2,1,1,1,1,1,1,1,1,1,4,1,1,2,200701001,1
118.9615219,200701001,1,W,118.9615219,2007,OM,All Schools,National,1,697,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,1,1,1,4,4,1,1,1,1,1,1,1,1,1,3,2,4,2,1,1,2,3,2,2,2,3,5,2,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,5,1,1,2,200701001,1
