FinalWgt,CR1,CR2,CR3,CR4,CR5,QAR6,CR7,CR8,CR9,QAR10,CR11,CR12,CR13,CR14,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,CR24,CR25,QAR26,QAR27,CR28,CR29,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,CR44,CR45,CR46,CR47,CR48,CR49,CR50,CR51,CR52,CR53,QAR54,QAR55,QAR56,QAR57,QAR58,QAR59,QAR60,QAR61,QAR62,QAR63,QAR64,QAR65,QAR66,QAR67,QAR68,QAR69,QAR70,QAR71,Stratum,PSU
6.8735187,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,3,2,2,2,2,2,2,3,2,1,3,3,3,1,2,1,1,1,1,1,1,2,1,,2,1,3,1,1,2,2,2,,3,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,200701001,1
7.981841174,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,4,4,1,1,,1,1,1,1,1,1,,3,4,,2,3,,2,2,3,3,2,5,2,2,1,2,1,1,1,1,1,1,1,4,,1,2,1,1,1,1,3,200701001,1
7.981841174,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,,,2,3,1,1,,,1,1,1,1,1,3,1,3,2,3,1,1,2,2,1,2,1,2,3,2,1,2,1,1,1,1,1,1,1,4,2,1,1,1,1,1,5,1,200701001,1
7.981841174,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,2,3,3,3,3,1,7,7,3,4,1,1,1,1,1,1,1,1,1,3,2,3,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,4,2,1,1,1,1,1,5,1,200701001,1
7.981841174,2,1,1,1,1,1,1,2,,2,1,1,1,1,1,1,2,2,3,2,2,2,1,4,1,7,7,1,4,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,5,4,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,200701001,1
7.981841174,2,1,1,1,1,1,1,2,1,1,1,,1,1,1,1,3,2,2,2,2,2,3,4,1,7,7,4,3,1,3,1,1,1,1,1,1,1,2,2,2,2,3,1,2,4,1,2,2,2,1,3,2,1,2,1,1,1,1,1,1,1,4,2,1,1,1,1,1,4,1,200701001,1
7.981841174,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,,1,2,1,1,2,1,2,2,1,3,2,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,200701001,1
7.981841174,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,3,1,3,1,1,3,2,1,1,1,1,1,1,1,1,3,2,2,,2,3,1,3,2,3,3,1,1,3,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,200701001,1
7.981841174,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,2,3,3,2,3,2,3,3,2,1,2,1,5,3,2,1,2,1,1,1,1,1,1,1,4,2,1,1,1,1,1,5,1,200701001,1
7.981841174,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,3,2,1,5,1,2,1,1,1,1,1,1,1,3,1,2,1,2,3,1,2,3,2,1,1,1,2,1,2,1,1,1,1,1,1,1,4,2,1,1,1,1,1,5,1,200701001,1
