FinalWgt,CR1,CR2,CR3,CR4,SAR5,SAR6,SAR7,SAR8,SAR9,CR10,CR11,SAR12,SAR13,CR13,CR14,SAR16,CR16,SAR18,SAR19,CR19,SAR21,SAR22,SAR23,SAR24,SAR25,SAR26,CR26,CR27,SAR29,SAR30,SAR31,CR31,CR32,CR33,CR34,CR35,CR36,CR37,SAR39,CR39,SAR41,CR41,CR42,SAR44,CR44,SAR46,SAR47,SAR48,SAR49,CR49,CR50,CR51,CR52,SAR54,CR54,SAR56,SAR57,SAR58,SAR59,SAR60,SAR61,SAR62,SAR63,SAR64,SAR65,SAR66,SAR67,SAR68,SAR69,CR55,Stratum,PSU
43.76106667,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,4,4,2,4,4,4,4,1,4,4,1,3,1,1,2,1,1,1,1,1,1,3,4,5,2,1,1,4,1,2,1,2,2,3,5,4,1,2,2,1,2,2,1,2,1,1,2,2,1,1,200101001,1
43.76106667,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,2,1,1,3,4,4,2,4,4,4,4,1,6,6,1,4,1,2,2,1,1,1,1,1,1,2,1,2,2,4,3,3,4,2,,3,1,1,4,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,200101001,1
45.27006897,1,,,,7,,,,7,,,4,,,4,3,,,2,4,1,4,4,2,4,2,3,2,1,1,1,,3,2,1,1,3,4,3,4,2,,4,,2,5,,4,,,,,2,2,2,6,3,3,2,3,2,,1,4,2,3,,2,,1,200101001,1
45.27006897,2,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,2,4,4,4,4,1,4,4,2,4,4,2,4,5,5,2,1,1,1,1,1,1,1,1,2,2,2,3,4,1,2,2,2,2,4,7,6,1,1,1,2,2,1,1,2,5,3,2,2,2,1,200101001,1
47.12730256,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,1,6,1,4,4,4,2,4,4,2,4,2,6,6,4,4,1,1,1,2,1,1,1,1,1,3,3,1,,2,,2,4,,1,1,3,1,6,4,,,3,3,,,,,4,2,1,,,1,200101001,1
50.5119754,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,6,,4,4,4,1,,4,1,1,1,2,6,3,1,1,5,2,1,1,1,1,1,1,3,2,2,,4,3,,4,2,3,3,1,1,3,1,1,2,1,1,2,1,,1,1,,1,2,2,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,3,1,2,1,1,1,3,1,2,2,2,3,4,4,2,2,2,4,4,1,6,6,1,3,5,2,1,1,1,1,1,1,1,2,1,2,1,3,2,2,1,2,3,3,3,3,3,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,3,1,2,1,1,1,3,1,2,1,1,1,4,4,4,1,1,4,4,3,6,6,1,4,1,1,1,1,1,1,1,1,1,1,2,3,2,3,1,2,3,2,1,2,1,4,3,1,1,1,2,1,1,2,1,4,1,1,1,2,1,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,6,1,2,1,1,1,1,1,2,1,1,4,3,4,2,4,4,4,4,1,6,6,1,4,1,1,1,1,1,1,1,1,1,3,,2,2,4,3,3,1,2,2,3,2,2,3,1,1,1,2,1,1,1,1,3,1,1,2,2,2,1,200101001,1
50.5119754,,,1,1,1,1,2,1,4,1,2,1,1,1,3,2,1,2,1,1,1,1,2,1,1,,4,1,6,6,1,4,1,1,2,1,1,7,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,4,3,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,200101001,1
50.5119754,,,,4,4,4,4,4,3,,,4,4,4,4,2,2,4,4,,4,3,2,2,2,2,2,2,6,6,4,3,4,4,2,4,4,4,4,4,4,,2,2,2,4,,4,2,2,2,2,2,4,6,,,2,2,2,,,,2,4,4,,,,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,4,4,1,6,6,1,4,1,2,1,1,1,1,1,1,1,2,1,2,2,5,1,1,1,2,1,3,1,2,1,,2,,2,2,2,1,1,2,1,1,2,2,1,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,1,1,,,1,1,1,1,2,1,1,1,1,1,3,4,4,4,4,1,6,6,1,4,1,1,1,1,1,1,1,1,1,3,1,2,2,2,2,3,1,2,3,3,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,3,2,1,2,2,4,2,5,5,2,4,4,4,2,1,1,1,1,1,1,3,2,1,2,5,,4,2,1,2,1,1,2,4,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,3,1,2,1,1,1,3,1,1,1,1,3,1,2,4,2,2,,2,4,6,6,1,3,1,4,2,2,1,1,7,1,1,,1,2,2,2,1,1,1,1,1,1,1,3,2,1,1,1,2,1,1,2,1,3,1,1,2,2,2,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,2,4,4,4,4,4,4,4,1,6,6,5,4,1,1,1,1,1,1,1,1,1,1,1,2,2,5,1,4,4,2,3,3,2,2,4,1,3,3,3,1,1,2,1,2,1,1,1,2,2,1,200101001,1
50.5119754,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,4,2,2,4,2,,4,4,2,4,3,,,,3,4,1,2,1,2,1,1,1,2,2,3,2,3,1,2,2,2,2,1,1,2,3,1,2,1,1,1,2,2,,1,1,1,1,1,2,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,4,4,2,4,4,4,1,1,5,5,1,4,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,1,2,2,2,2,1,1,4,1,1,2,2,2,1,1,2,3,3,2,1,1,1,1,200101001,1
50.5119754,1,6,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,4,2,4,2,2,4,2,5,5,1,2,2,1,2,3,3,7,3,3,2,1,2,2,2,2,2,2,3,1,2,2,2,1,6,1,2,1,1,1,1,2,2,1,2,3,1,2,1,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,1,1,3,3,3,3,4,3,3,3,3,2,1,1,3,3,5,5,2,2,2,1,1,1,1,3,3,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,3,1,1,2,2,2,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,4,4,2,4,4,2,2,2,4,4,1,6,6,2,4,1,1,1,1,1,1,1,1,1,1,2,2,2,4,2,1,4,2,3,2,3,3,3,1,1,1,2,1,2,2,1,4,1,1,2,1,2,1,200101001,1
50.5119754,1,1,1,1,1,1,1,1,4,1,,1,1,1,,1,1,1,1,1,3,4,2,,4,4,4,1,5,5,1,4,1,1,1,1,1,1,1,,,1,2,2,2,2,1,,1,,,,,4,3,1,,1,2,1,,2,1,1,1,1,2,2,2,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,2,1,,1,1,1,1,1,1,1,1,2,1,4,2,1,1,2,4,2,5,5,2,,4,5,1,3,1,1,1,1,1,1,2,2,2,2,1,2,1,2,3,3,2,3,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,4,4,2,4,4,3,4,1,6,5,2,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,5,2,3,3,2,4,3,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,200101001,1
50.5119754,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,1,6,6,1,4,1,3,1,1,1,1,7,1,1,1,1,5,2,4,3,1,1,2,2,2,1,3,2,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,200101001,1
50.5119754,,1,,,1,1,1,1,3,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,,2,,2,6,6,1,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,3,1,1,2,2,1,2,2,1,1,1,1,,2,2,1,200101001,1
50.5119754,1,5,,,1,1,2,1,5,1,2,1,1,1,1,3,1,1,2,2,1,4,2,1,2,2,4,2,1,1,1,4,1,1,1,2,1,7,3,1,1,3,1,3,2,4,3,3,1,2,3,2,2,2,3,1,2,1,1,1,1,2,1,3,1,1,1,1,2,1,200101001,1
50.5119754,,,2,4,7,2,2,2,1,2,2,7,4,4,1,4,2,2,3,1,1,4,3,3,1,2,2,4,6,5,1,2,1,2,2,2,2,5,3,3,5,1,2,2,2,3,2,1,3,1,2,2,1,1,3,1,1,1,2,1,2,2,3,3,2,3,2,2,2,1,200101001,1
50.5119754,1,5,6,4,2,3,6,3,7,,2,8,,2,1,3,2,3,5,,1,4,2,4,4,2,4,2,4,4,3,3,5,4,1,3,,4,3,2,3,2,,2,2,2,2,2,2,1,1,2,2,1,,1,2,2,,,1,1,3,2,2,2,1,2,2,1,200101001,1
50.5119754,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,2,2,1,1,4,2,2,4,2,4,1,6,,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,,1,1,1,1,5,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,200101001,1
