FinalWgt,CR1,CR2,CR3,CR4,CR5,AER6,AER7,AER8,AER9,CR10,AER11,CR12,AER13,AER14,AER15,AER16,AER17,CR11,CR13,CR14,AER21,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,CR24,CR25,CR26,AER34,AER35,CR27,CR28,CR29,CR30,CR31,AER41,AER42,CR32,AER44,CR33,AER46,AER47,CR34,CR35,CR36,AER51,CR38,CR39,CR40,CR41,CR42,CR43,CR44,CR45,CR46,CR47,CR48,CR49,AER64,CR50,CR51,CR52,CR53,AER69,CR55,AER71,AER72,Stratum,PSU
4.408935412,1,5,3,3,3,8,6,3,2,2,2,3,2,1,1,1,1,1,5,1,1,3,1,4,2,1,2,2,2,3,3,3,4,1,1,2,1,1,3,4,1,2,5,1,5,1,2,2,4,3,2,3,4,3,3,3,3,2,2,1,1,2,2,2,1,1,1,6,5,,,,200501001,1
4.408935412,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200501001,1
5.177603822,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,3,3,2,2,2,2,4,4,4,1,8,8,1,4,4,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,3,2,3,1,1,1,2,2,1,1,1,200501001,1
5.177603822,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,3,3,2,2,2,2,4,4,4,1,8,8,1,4,4,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,,1,1,1,2,3,2,3,1,1,1,2,2,1,1,4,200501001,1
5.177603822,1,1,1,1,1,1,1,1,5,1,1,1,1,3,1,1,1,2,1,3,3,1,1,1,4,4,2,2,2,2,1,2,4,4,3,2,2,3,4,4,4,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,200501001,1
5.177603822,1,1,2,2,8,3,5,1,2,1,1,8,2,1,1,1,3,2,3,1,1,2,1,2,1,2,1,1,2,1,2,3,1,2,1,1,3,3,2,1,1,2,1,1,1,1,2,1,1,4,1,1,4,4,1,2,2,2,2,1,1,2,1,1,1,1,3,6,2,1,1,1,200501001,1
5.177603822,1,5,2,2,2,3,3,3,2,2,1,8,1,1,1,1,1,2,2,5,1,1,1,1,1,2,2,2,2,2,2,2,4,4,1,1,1,3,3,4,4,1,1,1,1,1,2,1,3,3,6,5,3,4,1,3,2,2,2,1,1,2,2,2,1,1,3,5,2,1,1,1,200501001,1
5.177603822,1,5,3,3,2,3,3,3,2,2,1,8,2,1,1,1,1,2,2,5,5,2,1,1,1,2,3,3,2,2,2,2,3,3,4,1,8,8,1,4,4,1,1,1,1,1,2,2,3,3,4,8,2,4,1,3,3,2,3,1,1,2,2,2,1,3,3,1,3,1,1,1,200501001,1
5.177603822,2,1,1,1,,,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,3,1,2,2,2,2,4,4,1,1,8,8,4,4,4,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,2,2,3,3,1,3,1,2,1,1,1,200501001,1
5.177603822,2,1,1,1,1,1,1,1,,,,1,,1,,,1,2,1,1,1,,,,,,,,,,,,,,,1,,,,,,2,1,1,1,1,2,2,1,1,1,1,1,1,,,,2,,,,,,,,,,,4,1,1,1,200501001,1
5.177603822,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,3,3,3,1,1,1,2,8,8,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,3,4,4,2,1,3,3,4,2,2,2,2,2,2,2,1,1,1,200501001,1
5.177603822,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,3,3,3,1,1,1,2,8,8,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,3,4,4,2,4,3,3,4,2,2,2,2,2,2,2,1,1,1,200501001,1
5.177603822,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,2,2,4,4,1,1,8,8,4,4,4,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,3,2,3,1,1,2,2,2,2,2,1,1,3,1,1,1,200501001,1
5.177603822,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,2,3,3,1,4,4,1,1,8,8,4,4,4,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,4,1,2,3,2,3,3,3,2,1,1,1,1,1,200501001,1
5.177603822,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,3,1,2,3,3,3,1,1,4,2,8,8,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,3,2,3,2,3,1,3,1,3,2,1,1,1,200501001,1
